Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NoFeatures	Unassigned_FragmentLength	Total
1073_0001_star_genome	289407	0	66.7419694564	0	0	0	968352	24257547	4057794	0	6772167	0	36345267
1073_0002_star_genome	262502	0	65.2093548295	0	0	0	1080822	22117827	3890081	0	6566949	0	33918181
1073_0003_star_genome	279258	0	65.3566865153	0	0	0	1018113	23431093	4177250	0	6945389	0	35851103
1073_0004_star_genome	259353	0	64.7780490379	0	0	0	1032536	21284349	3800587	0	6480523	0	32857348
1073_0005_star_genome	261416	0	65.667272016	0	0	0	876305	21378905	3813614	0	6226168	0	32556408
1073_0006_star_genome	0	0	66.9852406205	0	0	0	828314	21707852	3770276	0	6100476	0	32406918
1073_0007_star_genome	264070	0	66.7067575042	0	0	0	798608	21430353	3732532	0	5900647	0	32126210
1073_0008_star_genome	259049	0	64.7064152549	0	0	0	984376	21220410	3796508	0	6534566	0	32794909
1073_0009_star_genome	280780	0	65.1311987577	0	0	0	1144276	23424717	4125363	0	6990296	0	35965432
1073_0010_star_genome	263311	0	62.8204038959	0	0	0	1307888	21827129	4111267	0	7235691	0	34745286
1073_0011_star_genome	260573	0	66.5637525133	0	0	0	885371	21265132	3582065	0	5953874	0	31947015
1073_0012_star_genome	258399	0	65.5295675513	0	0	0	1043192	21055095	3752722	0	6021271	0	32130679
1073_0013_star_genome	284142	0	65.4157867863	0	0	0	1105047	22945104	3888344	0	6853153	0	35075790
1073_0014_star_genome	228269	0	63.0768046693	0	0	0	992028	19161133	3634136	0	6361897	0	30377463
1073_0015_star_genome	252687	0	64.4469515692	0	0	0	896431	21182493	3687624	0	6848872	0	32868107
1073_0016_star_genome	296565	0	69.1262243899	0	0	0	775834	24103693	3707018	0	5985991	0	34869101
1073_0017_star_genome	294751	0	67.537587668	0	0	0	934719	23629650	3912801	0	6215485	0	34987406
1073_0018_star_genome	328177	0	70.0054662008	0	0	0	799035	25807324	4097281	0	5832910	0	36864727
1073_0019_star_genome	321044	0	66.3588142543	0	0	0	1032973	22624187	4057327	0	6058187	0	34093718
1073_0020_star_genome	260228	0	64.7745920254	0	0	0	1166545	21371109	3848353	0	6346808	0	32993043
1073_0021_star_genome	272775	0	68.5293007568	0	0	0	701318	21494233	3400844	0	5495856	0	31365026
1073_0022_star_genome	253076	0	65.830702855	0	0	0	862594	20524975	3462908	0	6074870	0	31178423
1073_0023_star_genome	261263	0	66.1229376058	0	0	0	799078	21032140	3575760	0	6139390	0	31807631
1073_0024_star_genome	246917	0	63.5464245539	0	0	0	1017111	20354153	3747633	0	6664553	0	32030367
1073_0025_star_genome	284667	0	64.5201116456	0	0	0	1162346	23573739	4145628	0	7370660	0	36537040
1073_0026_star_genome	346104	0	68.0083527283	0	0	0	1024080	27599604	4453237	0	7159643	0	40582668
1073_0027_star_genome	283536	0	67.1197878547	0	0	0	982334	22714737	3766570	0	6094910	0	33842087
1073_0028_star_genome	271763	0	65.2970959503	0	0	0	1098495	22384154	3883782	0	6642280	0	34280474
1073_0029_star_genome	276624	0	68.7788308821	0	0	0	720931	22148915	3609354	0	5447275	0	32203099
1073_0030_star_genome	264494	0	66.4873856483	0	0	0	888675	21151507	3723368	0	5784768	0	31812812
1073_0031_star_genome	269654	0	68.2829405387	0	0	0	747700	22444903	3522668	0	5885515	0	32870440
1073_0032_star_genome	263471	0	67.9048121754	0	0	0	759662	21540535	3497018	0	5660976	0	31721662
1073_0033_star_genome	0	0	67.3011599197	0	0	0	908835	22998573	3868502	0	6396715	0	34172625
