Sample	PCT_CODING_BASES	RIBOSOMAL_BASES	PF_NOT_ALIGNED_BASES	PCT_MRNA_BASES	CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	MEDIAN_3PRIME_BIAS	PF_ALIGNED_BASES	LIBRARY	MEDIAN_5PRIME_BIAS	PCT_USABLE_BASES	PF_BASES	READ_GROUP	IGNORED_READS	SAMPLE	INTERGENIC_BASES	INTRONIC_BASES	MEDIAN_5PRIME_TO_3PRIME_BIAS	PCT_INTERGENIC_BASES	PCT_CORRECT_STRAND_READS	INCORRECT_STRAND_READS	CODING_BASES	UTR_BASES	PCT_UTR_BASES
1073_0001_star_genome	40.8923	139515744.0	238262450.0	75.5484	0.0	0.429735	2.131	17.639	0.543787	6547024004.0		0.457485	72.8955	6785286454.0		0.0		308172142.0	1154829595.0	0.759372	4.7071	0.0	0.0	2677228062.0	2268941707.0	34.6561
1073_0002_star_genome	39.6836	207339466.0	263970486.0	73.6564	0.0	0.435931	3.4233	17.7703	0.540022	6056777780.0		0.426687	70.5803	6320748266.0		0.0		314399620.0	1076304837.0	0.698191	5.1909	0.0	0.0	2403547693.0	2057658160.0	33.9728
1073_0003_star_genome	39.8516	212917090.0	253186374.0	73.8427	0.0	0.433643	3.3177	17.728	0.529406	6417654556.0		0.421442	71.04	6670840930.0		0.0		330579919.0	1137721576.0	0.714794	5.1511	0.0	0.0	2557536563.0	2181430012.0	33.9911
1073_0004_star_genome	40.069	202614282.0	253638525.0	73.1872	0.0	0.444598	3.4572	18.0344	0.517843	5860659479.0		0.431467	70.1512	6114298004.0		0.0		314326721.0	1056932087.0	0.716422	5.3633	0.0	0.0	2348310447.0	1940943130.0	33.1182
1073_0005_star_genome	40.7854	190168658.0	219388717.0	74.2205	0.0	0.440992	3.2615	17.3711	0.520763	5830711061.0		0.42431	71.5291	6050099778.0		0.0		302458146.0	1012859525.0	0.714426	5.1873	0.0	0.0	2378078116.0	1949506077.0	33.4351
1073_0006_star_genome	41.3102	168954416.0	208454973.0	74.7902	0.0	0.446733	2.9052	17.3165	0.507179	5815506813.0		0.428715	72.2022	6023961786.0		0.0		292097923.0	1007040309.0	0.723248	5.0227	0.0	0.0	2402395115.0	1947034897.0	33.4801
1073_0007_star_genome	41.6484	165451736.0	201593826.0	75.3715	0.0	0.446805	2.866	17.119	0.534395	5772817562.0		0.435097	72.8282	5974411388.0		0.0		270057358.0	988251348.0	0.719001	4.6781	0.0	0.0	2404287692.0	1946769148.0	33.723
1073_0008_star_genome	39.8072	220528248.0	244841946.0	72.7979	0.0	0.439234	3.7643	18.2636	0.527365	5858473318.0		0.426601	69.8775	6103315264.0		0.0		305846071.0	1069966150.0	0.708193	5.2206	0.0	0.0	2332093479.0	1932753541.0	32.9907
1073_0009_star_genome	39.8544	213525716.0	279248164.0	73.6271	0.0	0.439829	3.3254	17.8435	0.532728	6421113046.0		0.441613	70.5586	6700361210.0		0.0		336724424.0	1145752718.0	0.733556	5.244	0.0	0.0	2559097285.0	2168584670.0	33.7727
1073_0010_star_genome	38.381	318363514.0	317511505.0	70.3554	0.0	0.445151	5.1834	18.5552	0.51401	6142004095.0		0.449147	66.8972	6459515600.0		0.0		366519528.0	1139660731.0	0.746002	5.9674	0.0	0.0	2357359952.0	1963872179.0	31.9745
1073_0011_star_genome	41.3415	132247178.0	217524716.0	75.425	0.0	0.440492	2.3033	17.583	0.53313	5741608806.0		0.45919	72.6717	5959133522.0		0.0		270783904.0	1009548468.0	0.769021	4.7162	0.0	0.0	2373668802.0	1956937460.0	34.0834
1073_0012_star_genome	40.5904	195104932.0	252958825.0	74.2781	0.0	0.445065	3.4097	17.1665	0.505205	5722032303.0		0.442819	71.1335	5974991128.0		0.0		296796184.0	982272645.0	0.762644	5.1869	0.0	0.0	2322595475.0	1927622833.0	33.6877
1073_0013_star_genome	40.3644	197891724.0	270118225.0	73.7055	0.0	0.436668	3.1493	18.0431	0.513505	6283741273.0		0.442575	70.6677	6553859498.0		0.0		322975078.0	1133782786.0	0.760449	5.1399	0.0	0.0	2536393603.0	2095069206.0	33.3411
1073_0014_star_genome	38.3785	274458612.0	246147874.0	70.4523	0.0	0.443211	5.0887	18.78	0.528426	5393459220.0		0.428047	67.3773	5639607094.0		0.0		309627825.0	1012890107.0	0.722372	5.7408	0.0	0.0	2069929537.0	1729884034.0	32.0737
1073_0015_star_genome	39.4149	221551378.0	223743393.0	71.8675	0.0	0.437653	3.7495	19.2026	0.530268	5908882879.0		0.430152	69.2455	6132626272.0		0.0		308735203.0	1134660069.0	0.735646	5.2249	0.0	0.0	2328981279.0	1917584645.0	32.4526
1073_0016_star_genome	43.8675	74143898.0	194880372.0	78.2023	0.0	0.444945	1.1705	16.5901	0.505064	6334272102.0		0.431479	75.8681	6529152474.0		0.0		256596251.0	1050861818.0	0.736881	4.0509	0.0	0.0	2778683689.0	2174863472.0	34.3349
1073_0017_star_genome	41.6802	142678660.0	231060940.0	76.488	0.0	0.443788	2.2654	16.6826	0.51735	6298101432.0		0.440016	73.7811	6529162372.0		0.0		289118857.0	1050685330.0	0.737756	4.5906	0.0	0.0	2625059330.0	2192230897.0	34.8078
1073_0018_star_genome	43.64	73404982.0	199578954.0	79.7317	0.0	0.449674	1.0983	15.1003	0.563736	6683609830.0		0.427176	77.4198	6883188784.0		0.0		272881211.0	1009243870.0	0.716922	4.0828	0.0	0.0	2916727002.0	2412226957.0	36.0917
1073_0019_star_genome	42.0551	164834020.0	251944089.0	75.7914	0.0	0.467977	2.712	16.4966	0.570113	6077993359.0		0.405032	72.7747	6329937448.0		0.0		305860265.0	1002664409.0	0.685983	5.0323	0.0	0.0	2556105387.0	2050490027.0	33.7363
1073_0020_star_genome	39.664	219364526.0	282042057.0	73.3315	0.0	0.441781	3.7455	17.5954	0.508376	5856708855.0		0.445121	69.9624	6138750912.0		0.0		314634520.0	1030510179.0	0.744045	5.3722	0.0	0.0	2323006214.0	1971808936.0	33.6675
1073_0021_star_genome	42.8629	98214420.0	176270622.0	77.3285	0.0	0.444116	1.7271	16.6062	0.518911	5686760996.0		0.426845	75.0036	5863031618.0		0.0		247862290.0	944354506.0	0.740931	4.3586	0.0	0.0	2437511892.0	1959975611.0	34.4656
1073_0022_star_genome	40.5498	146259110.0	213028468.0	74.2122	0.0	0.436153	2.6074	18.4299	0.545472	5609446802.0		0.449583	71.4969	5822475270.0		0.0		268224223.0	1033818111.0	0.756271	4.7817	0.0	0.0	2274619435.0	1888272583.0	33.6624
1073_0023_star_genome	40.605	174820496.0	200399900.0	74.1558	0.0	0.442693	3.0497	18.0144	0.516381	5732395852.0		0.409591	71.6509	5932795752.0		0.0		276089446.0	1032656391.0	0.691912	4.8163	0.0	0.0	2327642035.0	1923260375.0	33.5507
1073_0024_star_genome	38.8283	245063976.0	251587206.0	71.2776	0.0	0.44232	4.2952	19.0582	0.540492	5705555606.0		0.420281	68.2674	5957142812.0		0.0		309310623.0	1087378948.0	0.69759	5.4212	0.0	0.0	2215371281.0	1851412409.0	32.4493
