Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
1073_0001_star	93.24	12822920.0	103022.0	1.76	2.47	2.56	200.7	0.01	0.17	202.0	10163.0	12639235.0	12701180.0	31319121.0	33894.0	0	0.0	33590527.0	73950	0.01	0.22	3.88	1303054.0	8555.0	860508	0.1
1073_0002_star	92.51	11476054.0	91127.0	1.9	2.82	3.16	200.5	0.02	0.2	202.0	9090.0	11314580.0	11368073.0	28947278.0	30745.0	0	0.0	31290833.0	62505	0.02	0.2	4.04	1262733.0	7764.0	987572	0.1
1073_0003_star	92.83	12240337.0	96913.0	1.94	2.76	2.76	200.53	0.02	0.19	202.0	9932.0	12066583.0	12124817.0	30655740.0	34465.0	0	0.0	33023965.0	69551	0.02	0.21	4.09	1350112.0	8675.0	914097	0.1
1073_0004_star	92.58	11313053.0	90207.0	1.98	2.86	3.09	200.47	0.02	0.2	202.0	9042.0	11149706.0	11205956.0	28024225.0	32359.0	0	0.0	30268802.0	66477	0.02	0.22	4.0	1212041.0	7848.0	933700	0.11
1073_0005_star	93.04	11471814.0	89711.0	1.92	2.77	2.6	200.56	0.02	0.19	202.0	9360.0	11308293.0	11365135.0	27866489.0	32927.0	0	0.0	29950989.0	65795	0.01	0.22	4.03	1208195.0	7608.0	777583	0.11
1073_0006_star	93.25	11648975.0	91726.0	1.91	2.69	2.46	200.59	0.02	0.19	202.0	9105.0	11484368.0	11540295.0	27808328.0	32456.0	0	0.0	29821593.0	62596	0.01	0.21	3.97	1184951.0	7849.0	733262	0.11
1073_0007_star	93.3	11562835.0	92440.0	1.94	2.66	2.38	200.61	0.02	0.19	202.0	8950.0	11403638.0	11453594.0	27595070.0	31534.0	0	0.0	29576294.0	62195	0.01	0.21	4.0	1182616.0	7851.0	704879	0.11
1073_0008_star	92.72	11202696.0	87712.0	1.99	2.91	2.93	200.44	0.02	0.2	202.0	8725.0	11041082.0	11098159.0	28014025.0	31352.0	0	0.0	30214432.0	66560	0.02	0.22	4.02	1216031.0	8100.0	886464	0.1
1073_0009_star	92.54	12289267.0	97561.0	1.92	2.8	3.14	200.51	0.02	0.2	202.0	9926.0	12109950.0	12173207.0	30695793.0	34337.0	0	0.0	33170105.0	69578	0.02	0.21	4.01	1330036.0	8573.0	1040361	0.1
1073_0010_star	91.71	11275811.0	88185.0	2.06	3.26	3.78	200.28	0.03	0.23	202.0	9107.0	11117121.0	11170526.0	29326131.0	31490.0	0	0.0	31977800.0	70202	0.02	0.22	4.2	1343781.0	7993.0	1206196	0.1
1073_0011_star	93.15	11355551.0	90549.0	1.76	2.5	2.67	200.66	0.01	0.18	202.0	9262.0	11196410.0	11248152.0	27479579.0	31843.0	0	0.0	29500661.0	64974	0.01	0.22	3.85	1135711.0	7588.0	788554	0.11
1073_0012_star	92.41	11164138.0	88243.0	1.92	2.86	3.2	200.53	0.02	0.2	202.0	8786.0	11005480.0	11059484.0	27334765.0	32398.0	0	0.0	29579164.0	65022	0.01	0.22	4.06	1201207.0	7625.0	945772	0.11
1073_0013_star	92.72	12147088.0	94653.0	1.9	2.77	3.08	200.52	0.02	0.19	202.0	9803.0	11978209.0	12034170.0	30082399.0	33006.0	0	0.0	32444849.0	71469	0.02	0.22	3.88	1257403.0	8462.0	1000572	0.1
1073_0014_star	92.24	9960325.0	79592.0	2.05	3.2	3.23	200.32	0.02	0.23	202.0	7795.0	9819319.0	9866082.0	25751299.0	28655.0	0	0.0	27918847.0	61432	0.02	0.22	4.21	1175520.0	6856.0	901941	0.1
1073_0015_star	93.16	11222693.0	88896.0	1.91	2.89	2.61	200.57	0.02	0.19	202.0	8739.0	11061759.0	11117267.0	28284052.0	30407.0	0	0.0	30359536.0	72928	0.02	0.24	3.88	1179053.0	7791.0	793096	0.1
1073_0016_star	94.01	13375864.0	107092.0	1.6	2.06	2.07	200.8	0.01	0.15	202.0	10440.0	13192632.0	13249595.0	30386249.0	34944.0	0	0.0	32322537.0	71177	0.01	0.22	3.59	1160454.0	8737.0	669713	0.11
1073_0017_star	93.25	12621538.0	99630.0	1.76	2.46	2.57	200.66	0.01	0.18	202.0	10307.0	12445098.0	12503246.0	30139886.0	34498.0	0	0.0	32322586.0	68002	0.01	0.21	3.86	1247981.0	8355.0	832219	0.11
1073_0018_star	93.82	14161557.0	108299.0	1.56	2.03	2.04	200.86	0.01	0.16	202.0	11097.0	13968328.0	14033288.0	31968411.0	35951.0	0	0.0	34075192.0	68133	0.01	0.2	3.84	1307746.0	8873.0	694952	0.11
1073_0019_star	92.56	12601973.0	93344.0	1.88	2.65	2.98	200.59	0.02	0.19	202.0	9479.0	12428646.0	12490893.0	29003418.0	35852.0	0	0.0	31336324.0	62712	0.01	0.2	4.15	1299933.0	8257.0	934409	0.11
1073_0020_star	92.06	11142173.0	87824.0	1.95	2.91	3.52	200.43	0.02	0.2	202.0	9034.0	10984193.0	11037632.0	27978145.0	31584.0	0	0.0	30389856.0	63899	0.02	0.21	4.1	1245166.0	7683.0	1071062	0.1
1073_0021_star	93.93	11858994.0	91625.0	1.7	2.28	2.1	200.79	0.01	0.16	202.0	9291.0	11691154.0	11750480.0	27262864.0	30801.0	0	0.0	29024909.0	60956	0.01	0.21	3.65	1060727.0	7598.0	609561	0.11
1073_0022_star	93.16	10888308.0	86261.0	1.84	2.61	2.66	200.63	0.02	0.18	202.0	8710.0	10736847.0	10785919.0	26852921.0	30417.0	0	0.0	28824135.0	66229	0.01	0.23	3.85	1108620.0	7418.0	765948	0.11
1073_0023_star	93.4	11172244.0	87592.0	1.86	2.73	2.41	200.65	0.02	0.19	202.0	8870.0	11016949.0	11068091.0	27432793.0	29166.0	0	0.0	29370276.0	61711	0.01	0.21	3.88	1138405.0	7691.0	708201	0.1
1073_0024_star	92.45	10618344.0	83672.0	1.98	3.05	3.13	200.4	0.02	0.21	202.0	8343.0	10469736.0	10518684.0	27265623.0	30135.0	0	0.0	29490806.0	64816	0.02	0.22	4.1	1208072.0	7645.0	922160	0.1
1073_0025_star	92.63	12467173.0	98649.0	1.93	2.98	3.14	200.46	0.02	0.21	202.0	9727.0	12286372.0	12350196.0	31229066.0	34406.0	0	0.0	33713715.0	70707	0.02	0.21	3.92	1322303.0	8601.0	1057233	0.1
1073_0026_star	93.53	15142490.0	119234.0	1.73	2.32	2.42	200.73	0.01	0.16	202.0	12190.0	14922415.0	15000675.0	35105351.0	41276.0	0	0.0	37533417.0	75023	0.01	0.2	3.74	1403986.0	10391.0	907781	0.11
1073_0027_star	93.05	12206107.0	94729.0	1.78	2.45	2.82	200.66	0.01	0.18	202.0	9506.0	12032830.0	12093804.0	29093183.0	34187.0	0	0.0	31267546.0	68616	0.01	0.22	3.81	1192029.0	8068.0	879531	0.11
1073_0028_star	92.62	11748966.0	91708.0	1.83	2.79	3.15	200.61	0.02	0.19	202.0	9243.0	11583997.0	11639921.0	29298197.0	32669.0	0	0.0	31634265.0	69579	0.01	0.22	3.91	1237573.0	8094.0	996247	0.1
1073_0029_star	93.77	12138627.0	96331.0	1.64	2.2	2.09	200.8	0.01	0.15	202.0	9558.0	11969698.0	12024703.0	27872814.0	33795.0	0	0.0	29723649.0	65442	0.01	0.22	3.8	1129904.0	8035.0	621694	0.11
1073_0030_star	92.91	11249778.0	88440.0	1.84	2.72	2.71	200.57	0.02	0.19	202.0	8680.0	11093120.0	11145225.0	27200769.0	32121.0	0	0.0	29275557.0	64315	0.01	0.22	4.05	1186113.0	7433.0	792239	0.11
1073_0031_star	93.93	12280814.0	99304.0	1.75	2.37	2.14	200.77	0.01	0.16	202.0	9478.0	12101679.0	12163759.0	28600072.0	31653.0	0	0.0	30447223.0	63987	0.01	0.21	3.61	1099451.0	8273.0	652060	0.1
1073_0032_star	93.69	11800776.0	94623.0	1.74	2.4	2.28	200.72	0.01	0.16	202.0	9448.0	11629043.0	11689023.0	27464982.0	32256.0	0	0.0	29315289.0	61347	0.01	0.21	3.72	1090645.0	7682.0	666059	0.11
1073_0033_star	93.22	12083564.0	96777.0	1.84	2.7	2.57	200.66	0.02	0.18	202.0	9679.0	11908155.0	11968932.0	29395288.0	32240.0	0	0.0	31531850.0	66218	0.01	0.21	3.89	1227727.0	8176.0	810377	0.1
1073_0034_star	93.77	12334065.0	98496.0	1.58	2.01	2.07	200.82	0.01	0.16	202.0	9529.0	12160301.0	12218189.0	28262676.0	33317.0	0	0.0	30141321.0	63083	0.01	0.21	3.85	1160426.0	7851.0	621819	0.11
1073_0035_star	93.33	13113445.0	106382.0	1.85	2.58	2.58	200.69	0.02	0.17	202.0	10437.0	12925330.0	12987696.0	31105998.0	35601.0	0	0.0	33329448.0	70045	0.01	0.21	3.77	1257257.0	8930.0	860547	0.11
1073_0036_star	92.5	11547283.0	92832.0	1.89	2.7	3.26	200.55	0.02	0.19	202.0	8864.0	11386351.0	11437880.0	28361559.0	33108.0	0	0.0	30660542.0	67364	0.01	0.22	3.91	1200302.0	7707.0	998209	0.11
1073_0037_star	92.12	16043923.0	104376.0	1.34	1.61	1.43	200.93	0.01	0.14	202.0	10124.0	15912462.0	15922884.0	28078674.0	33423.0	0	0.0	30480971.0	21374	0.01	0.07	6.27	1910862.0	6539.0	436638	0.11
1073_0038_star	92.72	17002007.0	113354.0	1.35	1.61	1.44	200.94	0.01	0.13	202.0	10075.0	16860755.0	16871550.0	30375644.0	34978.0	0	0.0	32761063.0	22954	0.01	0.07	5.66	1855300.0	7028.0	472187	0.11
1073_0039_star	93.14	15043675.0	99430.0	1.36	1.6	1.4	200.95	0.01	0.13	202.0	9298.0	14922699.0	14928397.0	26236838.0	28217.0	0	0.0	28170387.0	19735	0.01	0.07	5.29	1490905.0	6550.0	394692	0.1
1073_0040_star	90.74	15152267.0	95186.0	2.15	2.48	2.76	200.45	0.01	0.2	202.0	10018.0	15037542.0	15040455.0	28285792.0	26397.0	0	0.0	31173809.0	21801	0.02	0.07	6.35	1980249.0	6608.0	859570	0.08
1073_0041_star	89.74	17794489.0	105535.0	1.77	2.17	2.02	200.67	0.01	0.18	202.0	11104.0	17656642.0	17670841.0	31866080.0	42775.0	0	0.0	35510678.0	21243	0.01	0.06	8.07	2865395.0	7009.0	715185	0.12
1073_0042_star	89.97	14344533.0	90385.0	2.2	2.74	3.12	200.33	0.02	0.22	202.0	8961.0	14235752.0	14239015.0	27788052.0	27608.0	0	0.0	30886877.0	18531	0.02	0.06	6.76	2089055.0	6172.0	963631	0.09
1073_0043_star	92.89	17668966.0	114075.0	1.33	1.6	1.31	200.97	0.01	0.13	202.0	11164.0	17527625.0	17536250.0	30944056.0	33032.0	0	0.0	33313821.0	26605	0.01	0.08	5.63	1874474.0	7477.0	435654	0.1
1073_0044_star	93.02	16725908.0	110427.0	1.39	1.65	1.39	200.95	0.01	0.13	202.0	10529.0	16583442.0	16597071.0	29748341.0	32280.0	0	0.0	31982128.0	25624	0.01	0.08	5.41	1730659.0	7881.0	445224	0.1
1073_0045_star	92.68	13674635.0	91361.0	1.49	1.79	1.69	200.9	0.01	0.14	202.0	8837.0	13558330.0	13568363.0	25272151.0	25987.0	0	0.0	27267092.0	24570	0.01	0.09	5.44	1483015.0	6074.0	461369	0.1
1073_0047_star	89.76	13244472.0	84355.0	2.21	2.7	3.16	200.32	0.02	0.22	202.0	8845.0	13134699.0	13144932.0	27416265.0	30288.0	0	0.0	30543133.0	24384	0.02	0.08	6.91	2109027.0	6340.0	963169	0.1
1073_0048_star	91.03	13973708.0	87785.0	1.99	2.27	2.38	200.59	0.01	0.18	202.0	9343.0	13871440.0	13870721.0	25524711.0	24933.0	0	0.0	28039623.0	16825	0.01	0.06	6.44	1805747.0	5859.0	667407	0.09
1073_0049_star	92.88	17035979.0	112184.0	1.38	1.62	1.48	200.96	0.01	0.14	202.0	10875.0	16893538.0	16905534.0	30580751.0	33163.0	0	0.0	32925270.0	26401	0.01	0.08	5.46	1796544.0	7386.0	488411	0.1
1073_0050_star	92.39	17528296.0	110135.0	1.38	1.65	1.29	200.96	0.01	0.14	202.0	10673.0	17377965.0	17399975.0	31413878.0	34811.0	0	0.0	34002412.0	23832	0.01	0.07	6.15	2090704.0	7513.0	439187	0.1
1073_0051_star	92.58	15683559.0	103973.0	1.36	1.63	1.57	200.94	0.01	0.13	202.0	9713.0	15552576.0	15563074.0	28254212.0	31599.0	0	0.0	30519793.0	27394	0.01	0.09	5.66	1728706.0	6799.0	477882	0.1
1073_0052_star	90.49	14476145.0	90870.0	2.0	2.32	2.6	200.51	0.01	0.18	202.0	9330.0	14369072.0	14369731.0	27263272.0	28354.0	0	0.0	30129426.0	18104	0.01	0.06	6.75	2035181.0	6214.0	784515	0.09
1073_0054_star	90.09	16144660.0	97452.0	2.31	2.64	3.17	200.32	0.02	0.22	202.0	10976.0	16028708.0	16028975.0	31738429.0	28659.0	0	0.0	35227819.0	21197	0.02	0.06	6.58	2319631.0	7257.0	1119903	0.08
1073_0055_star	93.16	14907922.0	95152.0	1.44	1.7	1.5	200.9	0.01	0.13	202.0	9243.0	14768287.0	14795619.0	26611568.0	31549.0	0	0.0	28566940.0	28570	0.01	0.1	5.13	1466700.0	7908.0	428553	0.11
1073_0056_star	92.49	15294198.0	100583.0	1.5	1.84	1.76	200.85	0.01	0.14	202.0	9419.0	15168479.0	15176912.0	28046313.0	31329.0	0	0.0	30322563.0	27298	0.01	0.09	5.55	1683794.0	7284.0	533829	0.1
1073_0057_star	92.91	14729646.0	96520.0	1.51	1.81	1.51	200.9	0.01	0.14	202.0	9558.0	14593716.0	14615757.0	27051565.0	28180.0	0	0.0	29117170.0	26210	0.01	0.09	5.4	1571478.0	7811.0	439737	0.1
1073_0058_star	90.59	15786230.0	97604.0	2.17	2.42	2.75	200.45	0.01	0.2	202.0	10191.0	15677474.0	15670993.0	29802942.0	30008.0	0	0.0	32899482.0	19739	0.02	0.06	6.51	2142103.0	7442.0	904690	0.09
1073_0059_star	88.79	13076289.0	82509.0	2.37	2.94	4.43	200.01	0.02	0.26	202.0	8517.0	12969168.0	12978407.0	27388541.0	28953.0	0	0.0	30845060.0	21605	0.02	0.07	6.61	2038674.0	6856.0	1367287	0.09
1073_0060_star	90.9	16002197.0	102949.0	2.04	2.31	2.65	200.54	0.01	0.19	202.0	10713.0	15885955.0	15880684.0	29289777.0	29199.0	0	0.0	32222701.0	19342	0.01	0.06	6.3	2030105.0	7851.0	854278	0.09
1073_0061_star	92.55	16966214.0	109902.0	1.54	1.88	1.66	200.88	0.01	0.15	202.0	10569.0	16825526.0	16838646.0	30542030.0	33394.0	0	0.0	33002090.0	23104	0.01	0.07	5.62	1855659.0	7097.0	547903	0.1
1073_0062_star	92.27	16064207.0	105445.0	1.53	1.85	1.81	200.84	0.01	0.14	202.0	10111.0	15924344.0	15941440.0	30163689.0	34154.0	0	0.0	32690209.0	29449	0.01	0.09	5.72	1870669.0	7211.0	592248	0.1
1073_0063_star	90.9	18348267.0	113330.0	1.88	2.36	2.19	200.64	0.01	0.18	202.0	11867.0	18212197.0	18215253.0	33312941.0	32982.0	0	0.0	36648886.0	21949	0.01	0.06	6.77	2479872.0	7817.0	801142	0.09
1073_0064_star	92.67	14639343.0	95509.0	1.59	2.03	1.76	200.82	0.01	0.15	202.0	9033.0	14502865.0	14528156.0	27228516.0	27944.0	0	0.0	29382260.0	26416	0.01	0.09	5.39	1582809.0	6645.0	516575	0.1
1073_0065_star	90.29	14213724.0	89139.0	2.19	2.62	3.33	200.36	0.02	0.22	202.0	9148.0	14104072.0	14109289.0	27596839.0	26016.0	0	0.0	30563935.0	21416	0.02	0.07	6.22	1900867.0	6148.0	1018797	0.09
1073_0066_star	91.2	14965289.0	90152.0	2.09	2.34	2.4	200.57	0.01	0.19	202.0	9473.0	14855918.0	14859230.0	26813972.0	25659.0	0	0.0	29402224.0	17611	0.01	0.06	6.26	1840532.0	6434.0	704450	0.09
1073_0067_star	92.07	15775533.0	105286.0	1.55	1.94	1.93	200.8	0.01	0.15	202.0	9707.0	15635216.0	15653500.0	29358859.0	32258.0	0	0.0	31887273.0	25567	0.01	0.08	5.81	1853791.0	7040.0	616798	0.1
1073_0068_star	92.3	15686025.0	104689.0	1.51	1.87	1.65	200.88	0.01	0.14	202.0	10239.0	15535761.0	15563955.0	29869951.0	34493.0	0	0.0	32361872.0	32248	0.01	0.1	5.85	1893088.0	7142.0	532092	0.11
1073_0069_star	92.67	14821912.0	98432.0	1.61	2.0	1.65	200.89	0.01	0.14	202.0	9468.0	14697923.0	14707213.0	27296752.0	27081.0	0	0.0	29456162.0	23529	0.01	0.08	5.51	1623509.0	6799.0	485291	0.09
1073_0070_star	90.2	14203279.0	89414.0	2.1	2.37	2.92	200.41	0.01	0.2	202.0	9655.0	14102771.0	14098397.0	26536631.0	27081.0	0	0.0	29419622.0	17640	0.02	0.06	6.73	1979810.0	5813.0	858460	0.09
1073_0071_star	90.25	16745682.0	107046.0	2.02	2.64	2.78	200.43	0.02	0.2	202.0	11482.0	16614967.0	16619675.0	32193253.0	34404.0	0	0.0	35670847.0	21376	0.02	0.06	6.82	2431404.0	7479.0	990410	0.1
1073_0072_star	90.05	16668577.0	108336.0	2.25	2.63	3.5	200.18	0.02	0.22	202.0	11485.0	16540724.0	16541121.0	32577697.0	31954.0	0	0.0	36176462.0	25334	0.02	0.07	6.29	2274754.0	7635.0	1266723	0.09
